date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,1514,1339859,24093024,18.05,18.05,17.9,18.0,0.1,499
2020-01-03,1514,1463458,26216090,18.0,18.1,17.7,18.0,0.0,519
2020-01-06,1514,1976535,35542030,18.0,18.1,17.85,18.1,0.1,639
2020-01-07,1514,2738339,49676126,18.2,18.4,17.9,18.2,0.1,1075
2020-01-08,1514,2685482,47788995,18.0,18.05,17.65,17.85,-0.35,788
2020-01-09,1514,751021,13402469,17.85,18.0,17.8,17.85,0.0,235
2020-01-10,1514,2078591,37452238,18.0,18.1,17.9,18.0,0.15,678
2020-01-13,1514,8893168,166735408,18.5,19.0,18.45,19.0,1.0,3207
2020-01-14,1514,6232620,121488376,19.05,19.8,19.05,19.45,0.45,2666
2020-01-15,1514,4084427,80275190,19.5,19.9,19.3,19.9,0.45,1676
2020-01-16,1514,4399643,87681135,19.8,20.25,19.55,19.65,-0.25,1966
2020-01-17,1514,3305808,65907660,19.7,20.15,19.6,20.1,0.45,1372
2020-01-20,1514,6203204,130712816,20.4,21.45,20.4,21.15,1.05,2934
2020-01-30,1514,6698888,137226859,19.85,21.1,19.7,20.9,-0.25,2801
2020-01-31,1514,4412885,93370438,21.6,21.6,20.7,20.9,0.0,1890
2020-02-03,1514,3792395,76656320,20.25,20.65,19.75,20.1,-0.8,1600
2020-02-04,1514,7624986,164598211,20.4,22.1,20.4,22.1,2.0,2810
2020-02-05,1514,14682850,318685400,22.1,23.1,20.7,21.0,-1.1,6549
2020-02-06,1514,6084835,128844868,21.0,21.6,20.7,21.1,0.1,2519
2020-02-07,1514,4395159,90331718,21.1,21.1,20.1,20.3,-0.8,1989
2020-02-10,1514,2467112,50288269,20.2,20.7,19.95,20.35,0.05,1206
2020-02-11,1514,1614114,33134626,20.65,20.65,20.4,20.5,0.15,813
2020-02-12,1514,1917363,39317216,20.55,20.75,20.35,20.75,0.25,879
2020-02-13,1514,3308457,67816491,20.75,20.9,20.2,20.2,-0.55,1376
2020-02-14,1514,1417080,28948768,20.3,20.55,20.2,20.5,0.3,689
2020-02-17,1514,1299238,26450579,20.45,20.5,20.25,20.35,-0.15,613
2020-02-18,1514,2750461,55259720,20.25,20.4,19.9,20.0,-0.35,1229
2020-02-19,1514,1630501,32841917,20.1,20.35,19.9,20.25,0.25,679
