date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,SMA5,SMA10,SMA20,K,D,RSI_7,RSI_14,BB_Upper,BB_Middle,BB_Lower,MACD,MACD_Signal,MACD_Hist
2020-01-02,2382,8212565,524953530,64.3,64.3,63.5,64.0,-0.3,4818,,,,,,,,,,,,,
2020-01-03,2382,7229367,462658609,64.0,64.2,63.5,64.2,0.2,3753,,,,,,,,,,,,,
2020-01-06,2382,14527954,908791002,62.4,63.3,61.5,63.0,-1.2,5388,,,,,,,,,,,,,
2020-01-07,2382,13139415,819100237,62.5,62.7,61.7,62.6,-0.4,4066,,,,,,,,,,,,,
2020-01-08,2382,6632136,413549450,61.8,62.6,61.8,62.4,-0.2,2355,63.239999999999995,,,,,,,,,,,,
2020-01-09,2382,4931541,310887011,62.5,63.5,62.4,63.1,0.7,2171,63.06,,,,,,,,,,,,
2020-01-10,2382,7789946,496953846,63.1,64.1,63.1,64.0,0.9,3252,63.02,,,,,,,,,,,,
2020-01-13,2382,5858080,373447320,64.0,64.1,63.0,64.1,0.1,2974,63.24000000000001,,,,,51.35135135135128,,,,,,,
2020-01-14,2382,7456035,480425233,64.3,64.6,63.9,64.6,0.5,3758,63.64000000000001,,,,,57.97665369649798,,,,,,,
2020-01-15,2382,8788837,568909250,64.6,65.0,64.4,64.6,0.0,3939,64.08000000000001,63.660000000000004,,,,57.97665369649798,,,,,,,
2020-01-16,2382,7655506,496429026,64.8,65.0,64.4,65.0,0.4,3999,64.46000000000001,63.760000000000005,,,,63.40361445783134,,,,,,,
2020-01-17,2382,6270195,407251114,65.0,65.2,64.7,65.0,0.0,3665,64.66,63.839999999999996,,,,63.40361445783134,,,,,,,
2020-01-20,2382,3718133,241444606,65.0,65.1,64.8,65.0,0.0,1575,64.84,64.03999999999999,,96.13445378151255,95.53688141923429,63.40361445783134,,,,,,,
2020-01-30,2382,22651696,1412886605,63.5,63.5,61.3,61.6,-3.4,8104,64.24000000000001,63.94,,65.36522301228182,85.26179702650285,23.11375171767402,,,,,,,
2020-01-31,2382,12648920,787447440,61.6,62.8,61.6,62.0,0.4,3446,63.720000000000006,63.9,,39.91955756661641,67.1397447868036,29.28170945559333,38.0952380952381,,,,,,
2020-02-03,2382,12538606,761101305,60.0,61.9,59.7,61.1,-0.9,5721,62.94000000000001,63.7,,17.031857031857072,40.77221253691844,24.18811802305607,34.15435139573073,,,,,,
2020-02-04,2382,7625538,471909564,61.0,62.3,60.8,61.8,0.7,2687,62.30000000000001,63.48,,27.195027195027166,28.04881393116689,34.523272348201004,39.40485877019643,,,,,,
2020-02-05,2382,10940429,680943875,61.9,62.8,61.5,62.2,0.4,4357,61.74000000000001,63.29,,36.36363636363632,26.86350686350686,39.97829728808474,42.239211775635646,,,,,,
2020-02-06,2382,7356149,465425754,62.8,63.7,62.4,63.5,1.3,3023,62.120000000000005,63.17999999999999,,50.90909090909086,38.15591815591812,54.387092804773616,50.365107847804595,,,,,,
2020-02-07,2382,6313054,400248523,63.4,63.7,62.8,63.7,0.2,2910,62.46,63.089999999999996,63.375000000000014,62.424242424242415,49.89898989898987,56.271261352836554,51.49565867091216,65.77822699718331,63.375000000000014,60.97177300281672,,,
2020-02-10,2382,5635808,356461098,62.8,63.6,62.2,63.5,-0.2,2660,62.94000000000001,62.94,63.35000000000001,70.72951739618408,61.35428357650579,53.6840946137289,50.262741602405015,65.73704838660491,63.35000000000001,60.96295161339511,,,
2020-02-11,2382,6193506,395741467,63.5,64.4,63.3,63.8,0.3,2808,63.34000000000001,62.81999999999999,63.330000000000005,76.77722855027817,69.97699612356824,57.13312956977514,52.11474177845366,65.69482557496234,63.330000000000005,60.965174425037674,,,
2020-02-12,2382,5625421,362030844,63.6,64.5,63.6,64.3,0.5,3230,63.76000000000001,62.749999999999986,63.395,84.47924875229835,77.32866489958688,62.55508372357171,55.11458047341227,65.79122619967295,63.395,60.99877380032705,,,
2020-02-13,2382,6336760,409953561,64.2,65.0,64.2,64.8,0.5,3256,64.02000000000001,63.06999999999998,63.50500000000001,93.09793032695472,84.7848025431771,67.37008875117552,57.95140358254377,65.9467002272992,63.50500000000001,61.06329977270081,,,
2020-02-14,2382,8473400,544736900,64.0,64.9,63.9,64.0,-0.8,3297,64.08000000000001,63.26999999999998,63.585,89.41674153938301,88.99797353954538,54.32927813390979,52.26021678543815,65.98105926470969,63.585,61.188940735290316,,,
2020-02-17,2382,6061111,383838339,63.0,63.8,62.7,63.6,-0.4,2490,64.10000000000002,63.51999999999998,63.61,77.47229709493861,86.66232298709213,48.81706584433693,49.63547978650375,65.99570744224893,63.61,61.22429255775107,,,
2020-02-18,2382,8384820,526703021,63.0,63.4,62.1,63.1,-0.5,3239,63.96000000000002,63.64999999999999,63.565,56.89107827038865,74.5933723015701,42.52500168393158,46.49215701664501,65.95353511592415,63.565,61.176464884075834,,,
2020-02-19,2382,4328961,273480019,63.0,63.5,62.5,63.3,0.2,2047,63.760000000000026,63.75999999999998,63.525,45.28735632183907,59.88357722905545,45.7859229963575,47.913078622624056,65.90312951707904,63.525,61.14687048292096,,,
2020-02-20,2382,4264077,269423466,63.5,63.5,63.0,63.2,-0.1,1806,63.44000000000002,63.72999999999998,63.455000000000005,37.931034482758626,46.70315635832878,44.31912821900196,47.23762518300848,65.78435613421397,63.455000000000005,61.12564386578605,,,
2020-02-21,2382,5153796,324637848,63.0,63.3,62.7,63.0,-0.2,1945,63.24000000000002,63.65999999999998,63.375000000000014,36.78160919540228,39.99999999999999,41.236666332766085,45.84557950487239,65.65085148900248,63.375000000000014,61.09914851099755,,,
2020-02-24,2382,7615282,476234366,62.0,63.0,62.0,63.0,0.0,3058,63.120000000000026,63.60999999999998,63.27500000000001,34.099616858237574,36.270753512132835,41.236666332766085,45.84557950487238,65.42894986013968,63.27500000000001,61.12105013986035,,,
2020-02-25,2382,5280276,331634348,62.2,63.1,62.2,62.8,-0.2,2343,63.060000000000024,63.50999999999998,63.165000000000006,30.344827586206872,33.74201787994891,37.670500940431054,44.33049324134632,65.17524874082751,63.165000000000006,61.15475125917251,,,
2020-02-26,2382,8620941,539073259,62.1,62.9,62.1,62.6,-0.2,2245,62.92000000000003,63.33999999999999,63.045,26.896551724137918,30.446998722860794,34.21810442642905,42.80700393584458,64.88181790060928,63.045,61.20818209939072,,,
2020-02-27,2382,7586203,472057317,62.3,62.7,62.0,62.0,-0.6,2550,62.68000000000003,63.05999999999999,63.06500000000001,15.785440613026806,24.342273307790535,25.90778666017724,38.52909449317002,64.84631973547552,63.06500000000001,61.283680264524506,-0.33723954440904436,-0.28287846007841705,-0.05436108433062731
2020-03-02,2382,14853195,912642795,60.2,62.0,60.2,61.6,-0.4,6058,62.400000000000034,62.81999999999999,63.045,21.037965865552085,21.23998606757227,21.791510143414214,35.94976826757337,64.88181790060928,63.045,61.20818209939072,-0.41257087850367924,-0.30881694376346946,-0.10375393474020977
